event_tag,event_name,date,time,image_url,city,location,description,booking_url
Music,U1�s Long Drive - Live In Concert | Coimbatore,2024-10-12,18:00,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1719227521%2Fy7nodqwefavfutmalyxb.jpg",Coimbatore,"Hindusthan college of arts and science, Coimbatore",It's been a long wait for Coimbatore to have the best of Yuvan Shankar Raja vibe and medicine. Come let's get Yuvanfied together & experience the magic in live.,https://insider.in/event/u1s-long-drive-live-in-concert-coimbatore-oct12-2024/buy-page/shows/65cda8bb66eb4b000aaf16e9
Music,D IMMAN KACHERI ARAMBAM,2024-10-05,18:00,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1723900414%2Farcygsjnexw0xecwwgjf.jpg",Coimbatore,"Hindusthan College of Arts & Science, Coimbatore","Our intention is to whisk the audience away from their everyday routines and immerse them in a world of captivating music and electrifying dance. We aim to fill their day with joy and excitement, offering the rare opportunity to see their favorite artists perform live on stage. This event promises to be a thrilling escape, bringing cheer and unforgettable moments to all who attend. Join us for an electrifying musical extravaganza at the D Imman Show, featuring an array of talented singers and musicians who will captivate the audience with their performances. This event is set to be an unforgettable night of music, rhythm, and entertainment.",https://insider.in/event/d-imman-kacheri-arambam-oct5-2024/buy-page/shows/66b1b7f626a61765eec45fca
Music,KING OF KINGS 2024 Karthik Raaja Live in concert Coimbatore,2024-10-19,18:00,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1724393924%2Fiyz1e1fjqwpxgamsrfi8.jpg",Coimbatore,"Hindusthan College of Arts & Science, Coimbatore","BK entertainment and YESS BOSS presents KING OF KINGS 2024, a magnificent music festival curated by renowned music composer Mr.Karthik Raja. This grand event set to take place on Saturday, October 19th, at 6:00 PM at HINDUSTHAN COLLEGE OF ARTS & SCIENCE, located on Avinasi Road, Coimbatore (behind Nava India).The festival will feature an impressive lineup of Indian Music idols, including Hariharan, Unnimenon, Saindavi, Shivangi, Ajay Krishna, Priyanka, Priya Jerson along with numerous other eminent musicians.",https://insider.in/event/king-of-kings-2024-karthik-raaja-live-in-concert-coimbatore-oct19-2024/buy-page
Music,HIPHOP TAMIZHA'S - RETURN OF THE DRAGON MACHI (HOME EDITION) - LIVE IN COIMBATORE,2024-09-08,18:30,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1722925234%2Fanj4pzojq5nrcejmk0vg.jpg",Coimbatore,"Codissia Ground, Coimbatore","Get ready folks. It is Hip Hop Adhi's homecoming. He is ready to set the stage ablaze. A patron of Tamil folk arts , he masterfully merges it with hip hop to produce remarkable musical compositions. A show of high energy you surely can resonate with. Prepare for an unforgettable spectacle�it's sure to be an explosive experience.",https://insider.in/event/hiphop-tamizhas-return-of-the-dragon-machi-home-editon-live-in-coimbatore-sep8-2024/buy-page/shows/66791ae83c96b39d22712b34
Conference,BUSINESS NETWORKING '24,2024-09-07,13:30,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1722605579%2Fiot6vdspzodaxacjzmoc.jpg",Coimbatore,"Best coworking space Aztech coworking space nilgiris, Coimbatore","Coimbatore BUSINESS NETWORK | BUSINESS NETWORKING. Coimbatore Business Network the ultimate meetup for professionals seeking to connect exchange sales opportunities expand their business networks and engage in insightful discussions on industry-related topics. This curated event provides a platform for entrepreneurs business owners and professionals to foster meaningful connections and explore collaborative opportunities | English",https://insider.in/event/coimbatore-business-networking-24-sep7-2024/buy-page/shows/66ace0acf756b2432c705bb7/Tickets
Conference,GLOBAL STARTUPS CLUB l STARTUP NETWORKING | Coimbatore,2024-09-07,13:30,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1722604577%2Fwnyoy8qngwknedcmd8zs.jpg",Coimbatore,"Best coworking space Aztech coworking space nilgiris, Coimbatore",Introducing Global Startups Club - a networking hub & community powered by 3X Events Mojo Capital 100x Brands Gamezone & Proconnxt that will meet once a month over tea & coffee. Our mission is to bring together talented founders experts consultants influential leaders and startup professionals. Business community will come together for a well curated agenda driven 2.5 hrs offline meet showcasing their businesses,https://insider.in/event/global-startups-club-l-startup-networking-coimbatore-sep7-2024/buy-page/shows/66acdcbafd0687f426dd6860/Tickets
Conference,Entrepreneurs Meetup by We Founders Collab Coimbatore,2024-09-07,13:30,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1723100647%2Fid46csbtrgpxywtlzqcs.jpg",Coimbatore,"Best coworking space Aztech coworking space nilgiris, Coimbatore", Entrepreneurs Meetup powered by We Founders Collab is a vibrant gathering designed exclusively for entrepreneurs seeking networking opportunities and valuable connections. Join us to,https://insider.in/event/entrepreneurs-meetup-by-we-founders-collab-coimbatore-sep7-2024/buy-page/shows/66b46e95c3a6cd6bdc3ace1a/Tickets
Arts and Crafts ,Acrylic Painting,2024-09-01,10:00,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-acrylic-painting-0-2024-3-28-t-5-7-0.jpg,Coimbatore,"243, Alagesan Road, Near GCT College, Saibaba Colony, Coimbatore, Tamil Nadu 641011, India", Immerse Yourself in Acrylic Painting!,https://in.bookmyshow.com/events/acrylic-painting/ET00392281/booking-step/venue
Music,Sajanka live at Sunburn Union,2024-09-22,19:30,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1723004792%2Fu93pesmyqwn5dnee607w.jpg",Bengaluru,"Sunburn Union, Bengaluru","Prepare for an unforgettable night with Sajanka, the acclaimed musician from Israel, known for crafting mesmerizing soundscapes and infectious rhythms. Join us on the 22nd of September at Sunburn Union for a live performance that promises to be a unique celebration of music and energy.",https://insider.in/event/sajanka-live-at-sunburn-union-sep22-2024/buy-page/shows/66a8e9db50bb2a3e655ad8f8/Tickets
Conference,TechSparks Bangalore 2024,2024-09-26,10:00,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1724649756%2Frb0rcojjwtedxxscejet.png",Bengaluru,"Taj Yeshwantpur, Bengaluru, Bengaluru","Experience the pinnacle of innovation at TechSparks 2024, YourStory's premier event where visionaries, innovators, and tech enthusiasts come together to shape the future. Celebrating its 15th year, this summit promises unparalleled insights, networking opportunities, and groundbreaking ideas that will redefine the technology landscape.",https://insider.in/event/techsparks-bangalore-2024-sep26-2024/buy-page/shows/66a888afa36198ec3e814cef/Tickets
Music,HOZHO live at Sunburn Union,2024-09-22,19:30,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1724593945%2Fcposiqlrdsy19zk0mmdi.jpg",Bengaluru,"Sunburn Union, Bengaluru","Hozho returns to Bengaluru at the iconic Sunburn Union for Darkroom's 4th Anniversary! Join us on Saturday, 21st September, for a striking night as we celebrate four years of Darkroom Events with the incredible HOZHO! Known for his mesmerizing Melodark sound that has captivated audiences worldwide, Hozho will deliver a live experience like no other. Limited early bird tickets are available exclusively on Insider. Grab yours now before they�re gone!",https://insider.in/event/hozho-live-at-sunburn-union-sep21-2024/buy-page/shows/66cb37d59b80b9c656dc1904/Tickets
Music,Pacayafog Festival,2024-09-21,15:00,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1723637811%2Fxtkqng5hwp7fjtrcczxr.png",Bengaluru,"Hotel Royal Orchid, Bengaluru","On September 21, step into a world of sonic vibrations and mesmerizing visuals at Hotel Royal Orchid, Bangalore. Pacayafog is more than an event; it�s a revolution in how you experience music, art, and technology, all coming together to awaken your senses and reveal hidden depths within.",https://insider.in/event/pacayafog-festival-sep21-2024/buy-page/shows/66b7726334ee929e24602bc5/Tickets
Music,XXL INDIA [OPEN AIR],2024-09-14,14:00,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1723457018%2Fcwhernefgp6mvzcyxija.jpg",Bengaluru,"High Ultra Lounge, Bengaluru","XXL INDIA [OPEN AIR] 14TH SEPTEMBER HIGH ULTRA LOUNGE,BENGALURU",https://insider.in/event/xxl-india-open-air-sep14-2024/buy-page/shows/66b9dfd0317b95a3ebd1e445/Tickets
Music,India Today Mindrocks 2024 - India's Biggest Youth Summit,2024-09-14,10:00,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1724484620%2Fdwh4b4x3p6c7u5lbhkkx.png",Bengaluru,"Presidency University, Bengaluru","India Today Mindrocks 2024 - India's Biggest Youth Summit Calling all young change-makers, dreamers, and go-getters! Join India's brightest Youth Icons from Politics, Entertainment, Start-ups, Social Media, Business, and Sports in a one-day extravaganza crafted just for you.",https://insider.in/event/india-today-mindrocks-2024-indias-biggest-youth-summit-sep14-2024/buy-page/shows/66c4a2672c88d065639cbd02/Tickets
Conference,The Great Indian Startup Summit,2024-09-13,10:00,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1720586477%2Fubqhvsjh1wz2hydqu7du.png",Bengaluru,"Presidency University, Bengaluru","The Builders Club, one of the largest global communities of startup founders and investors, is organising The Great Indian Startup Summit.. Set to take place on 13th September in Bangalore, this event promises to be the biggest celebration of startups in India.",https://insider.in/event/the-great-indian-startup-summit-sep14-2024/buy-page/shows/66705fb09d0c86a900b25c99/Tickets
Conference,"10th Bangalore Business Literature Festival 14 Sept, 2024",2024-09-14,09:30,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1724510587%2Fms9hhwfxlvo8kf5dubks.png",Bengaluru,"Catholic Club, Bengaluru","The Bizlitfest celebrates and fosters the culture of reading, writing, and publishing business literature in all forms, among entrepreneurs, executives and graduate students. It curates meaningful and deeper conversations between authors, business leaders and readers so that they make better-informed and more nuanced decisions about business, environment and life.?",https://insider.in/event/tenth-bangalore-business-literature-festival-14-sept-2024-sep14-2024/buy-page/shows/66827cc57ade7e538c48b9df/Tickets
Comedy,"Happy Ending - A Live Standup Show By Nesan David",2024-09-14,18:00,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-happy-ending-a-live-standup-show-by-nesan-david-0-2024-4-25-t-11-10-37.jpg,Coimbatore,"Avaram Palayam Road KR Puram, Avarampalayam, Illango Nagar, Coimbatore, Tamil Nadu 641006, India","22 Year Old Viral Comedian Nesan C David is all set to Talk about A Story that He has been crafting over the past few months in the most Funniest and Hilarious ways possible. His Story is all about finding Happiness even in the most difficult situations. Nesan also takes the audience along with him on his journey by singing a few songs in the middle of his show. The Show would be filled with Observational Comedy, Funny Moments, Humorous Songs and Crowd Interactions.",https://in.bookmyshow.com/events/happy-ending-a-live-standup-show-by-nesan-david/ET00396152/booking-step/venue
Arts and Crafts ,Small World Fluid Art,2024-09-25,10:00,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-small-world-fluid-art-0-2024-8-9-t-7-15-28.jpg,Coimbatore,"Alagesan Road, Near GCT College, Saibaba Colony, Coimbatore, Tamil Nadu 641011, India","Unleash your creativity and let your imagination flow at our Fluid Art Workshop. Perfect for both beginners and art enthusiasts, this workshop is a dive into the vibrant world of fluid art, where colors blend and patterns emerge in the most unexpected ways.",https://in.bookmyshow.com/events/fluid-art-workshop/ET00376621/booking-step/venue
Comedy,Tonight in Whitefield,2024-09-01,19:30,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1723439002%2Fcbhwdadcg3qbzl4ffnvr.jpg",Bengaluru,"Comedy Garage - Stand Up Comedy Club, Bengaluru","Lineup of comedians will make you rofl with their wit. new lineups every week. surprise acts.",https://insider.in/event/tonight-in-whitefield-aug17-2024/buy-page/shows/66cc2c746e41b5d618882cac/Ticket
Comedy,"The ""Curry in a Hurry"" Improv Show",2024-09-15,17:30,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1724497875%2Fud2fbuudqthlwmcwn4sa.jpg",Bengaluru,"Khadim's - Koramangala, Bengaluru","Get ready to turn up the heat because ""Curry In a Hurry"" is back with a sequel that's hotter, wilder, and funnier than ever! ""Curry In a Hurry - 2nd Serving"" promises an evening of side-splitting, belly-laughing, tear-jerking (from laughter, not sadness) comedy that will have you rolling in the aisles. With 10 improv maestros uniting on the stage, and this time, they've been marinating in comedy gold, ready to serve up a fresh batch of laughs. No scripts, no filters, just pure, unadulterated humor cooked up right before your very eyes. Your suggestions are the secret ingredients, and the performers will whip up a comedic feast faster than you can say ""naan-stop laughter.""",https://insider.in/event/the-curry-in-a-hurry-improv-show-sep15-2024/buy-page/shows/66c4be431948bb9c88a71f51/Tickets
Music,Asal Kolaar Live in Bangalore,2024-10-06,01:00,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1720106790%2Feuxl5gojw3tgvugiswml.jpg",Bengaluru,"Venue to be announced, Bengaluru","Asal Kolaar aka Asal Kolar is an Indian film Singer/Lyricst, who has worked predominantly in Tamil movie industry. Asal has worked in popular movies like Coffee With Kadhal, Gulu Gulu. Asal`s previous film to hit the theatres was Coffee With Kadhal in the year 2022.",https://insider.in/event/asal-kolaar-live-in-bangalore-oct6-2024/buy-page/shows/6686bfe730c827d8f87aae92/Tickets
Comedy,Pure Veg Jokes by Saikiran (Morning Show),2024-09-01,11:00,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1723562474%2Fvacleuhgctwfprwoongz.png",Bengaluru,"The Underground Comedy Club, Bengaluru","Watch India�s most viral english comic, Saikiran talking about his pure veg childhood traumas. It�s more than an hour of clean comedy. The jokes are 100% organic, farm-fresh and served without any onion or garlic i.e. no swearing or innuendo. This show is going to be an absolute laughter ride!",https://insider.in/event/pure-veg-jokes-by-saikiran-morning-show-sep1-2024/buy-page/shows/66bb7a75ae3c599aed5e8a02/Tickets
Workshops,Kommune Bengaluru's Story Writing Workshop with Nihal Parashar,2024-09-01,14:00,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1722844482%2Fbep7nixhmatuvxx7p568.png",Bengaluru,"VYOMA ArtSpace and Studio Theatre, Bengaluru","Join us for an immersive and enriching Story Writing Workshop with Nihal Parashar, hosted by Kommune. Held in the vibrant creative hub of JP Nagar, this workshop is designed to unlock your storytelling potential and enhance your writing skills. Whether you're a seasoned writer or just starting, this workshop offers valuable insights and practical tips to elevate your craft.",https://insider.in/event/kommune-bengalurus-story-writing-workshop-with-nihal-parashar-sep1-2024/buy-page/shows/66b088105a608dfdcce75267/Tickets
Workshops,BACHELOR'S ABROAD AFTER 12th-BEN,2024-09-02,14:00,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1718978311%2Fb1o7g0fxxvuo3xuai6ze.jpg",Bengaluru,"Presidency University, Bengaluru","Is your dream to study abroad? or Do you want your Child to Study Abroad? This summer camp can help with the first step! Take our 45-day FREE crash course in PTE/ SAT/ IELTS to give you the skills and knowledge you need to succeed on these important exams . Our experienced instructors will teach you the test-taking strategies and techniques you need t",https://insider.in/event/summer-camp-for-study-abroad-aspirantsben-may11-2024/buy-page/shows/6694e7cb6c7a5172fb241034/Ticket
Conference,Business & Entrepreneur Forum 2024,2024-09-14,16:30,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1723184185%2Ftjjpjttkvmqhzkde5gn9.jpg",Bengaluru,"EIMR - An Entrepreneurship Institute, Bengaluru",Join the Business & Entrepreneur Forum for insights networking and growth opportunities. Connect with industry leaders gain expert advice and discover innovative strategies to drive success. Elevate your business acumen and entrepreneurial spirit. Transform ideas into impact. Join us and thrive in a community of ambitious professionals.,https://insider.in/event/business-entrepreneur-forum-2024-sep14-2024/buy-page/shows/66b5b4deaed4bf2eae750d50/Tickets
Conference,Student Conclave India 2024,2024-09-30,09:00,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1722429475%2Fujhg86fboinlqdrcwgqh.jpg",Bengaluru,"St. Claret College Autonomous Bengaluru, Bengaluru","The Student Conclave India is a dynamic and inclusive platform that serves as a nexus between academia and industry within the fields of tourism, hospitality, aviation, event management, and related sectors. With a focus on fostering exploration, innovation, and the exchange of knowledge and practices, the Conclave aims to nurture students' holistic development while providing valuable networking opportunities, collaboration, and skill enhancement opportunities. ",https://insider.in/event/student-conclave-india-2024-sep30-2024/buy-page/shows/6641ef8197ca01ece9b986ae/Tickets
Arts and Crafts ,Origami Flamingo Workshop by Roligami,2024-09-01,16:30,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1721916915%2Fjkuqv7l8ercxp57ahnbm.png",Bengaluru,"Dialogues Cafe Koramangala, Bengaluru","All materials are included in the ticket price. A curated set of origami papers with both traditional and contemporary prints will be provided along with other stationery material required. A photo frame per person will be used to frame your creations. Roli Agrawal aka Roligami is a multi-disciplinary designer and a craft enthusiast. Her fascination for Japanese culture and crafts led her to explore origami over a decade ago. Since then she has been spreading her love for origami through workshops and showcasing her creations on Instagram. ",https://insider.in/event/origami-flamingo-workshop-by-roligami-aug24-2024/buy-page/shows/66a25e8222562ef18f84f0d4/Tickets
Conference,Founders Breakfast Club '24 | Bengaluru,2024-09-08,09:00,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1722603914%2Fasatsi4cbplikaq9uz8d.jpg",Bengaluru,"Nanav Cafe, Bengaluru","Founders Breakfast Club Join the Founders Breakfast Club for a morning of networking and inspiration. Connect with like-minded entrepreneurs over breakfast and discuss strategies for success in a supportive environment. This event is exclusive for Global Startups Club charter members & founders of startups in the ecosystem. In case you have a services or professional firm; for e.g. CAs Lawyers Digital Marketers etc please consider our other events and not this one.",https://insider.in/event/founders-breakfast-club-24-bengaluru-sep8-2024/buy-page/shows/66acda35079bfefa47d0f3c4/Tickets
Music,Tribute to AR Rahman Ft. 3 Shots Bourbon,2024-09-14,21:30,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1724495532%2Feusq9slrjifnafhbvix5.jpg",Bengaluru,"Hard Rock Cafe Bengaluru Whitefield, Bengaluru","Built on the sheer belief that music has no boundaries, 3SB BAND formed with an amalgamation of musicians from south, east, west and northern parts of India. They like to call themselves �3 Shots Bourbon� and have a taste & affinity for blending the musical flavors of the west with the Indian classical melodies to create some ridiculously simple yet extravagant musical mix.",https://insider.in/event/tribute-to-ar-rahman-ft-3-shots-bourbon-sep14-2024/buy-page/shows/66c9b7a9fa13bc4e4e89d71e/Tickets
